Fecha;Apple;Amazon;Boeing;Bank of America;Caterpillar;Chevron;GE Aerospace;Alphabet (Google);Goldman Sachs;Johnson & Johnson;JPMorgan Chase;Coca-Cola;Eli Lilly;McDonalds;Meta Platforms;Microsoft;NVIDIA;Procter & Gamble;Tesla;UnitedHealth;Visa;Walmart;ExxonMobil;INDICE S&P 500
2025-03-31;221,1660614013672;190,25999450683594;170,5500030517578;40,812049865722656;324,7054748535156;160,08583068847656;199,09617614746094;154,10565185546875;535,2022705078125;161,34463500976562;239,1473846435547;69,60232543945312;819,8397216796875;305,30706787109375;574,5675048828125;372,5379943847656;108,35446166992188;164,6284637451172;259,1600036621094;509,3861389160156;347,85662841796875;87,0178451538086;114,9793930053711;5611,85009765625
2025-04-01;222,2214813232422;192,1699981689453;168,1699981689453;40,577327728271484;325,4635925292969;161,25328063964844;202,71701049804688;156,52725219726562;537,3184204101562;149,0959014892578;237,54852294921875;69,84528350830078;799,3118286132812;306,53857421875;584,1775512695312;379,2863464355469;110,1240463256836;164,7637176513672;268,4599914550781;508,7734680175781;343,77716064453125;88,0487060546875;115,08573150634766;5633,06982421875
2025-04-02;222,91844177246094;196,00999450683594;168,55999755859375;40,929405212402344;329,4903869628906;159,3011474609375;198,71817016601562;156,49734497070312;551,6710815429688;151,14869689941406;239,6543426513672;69,32048797607422;812,206298828125;304,534912109375;582,1139526367188;379,2367248535156;110,39398193359375;163,73974609375;282,760009765625;508,8512878417969;343,75726318359375;88,97051239013672;114,72801971435547;5670,97021484375
2025-04-03;202,30824279785156;178,41000366210938;150,91000366210938;36,4012565612793;301,0368347167969;149,3968505859375;186,64210510253906;150,19920349121094;500,8538513183594;155,48782348632812;222,95399475097656;71,11837005615234;783,29052734375;311,0736389160156;529,9666137695312;370,2752990722656;101,77601623535156;166,5315399169922;267,2799987792969;525,6184692382812;336,86883544921875;86,49251556396484;108,69530487060547;5396,52001953125
2025-04-04;187,56253051757812;171,0;136,58999633789062;33,633506774902344;283,6299133300781;137,10980224609375;165,93170166015625;145,0968780517578;461,2542419433594;149,086181640625;206,2684783935547;67,95993041992188;732,784423828125;293,3242492675781;503,1602783203125;357,10614013671875;94,28778076171875;158,1851348876953;239,42999267578125;510,6504821777344;310,8039245605469;82,45830535888672;100,87403106689453;5074,080078125
2025-04-07;180,6725616455078;175,25999450683594;138,86000061035156;34,79732894897461;275,7337951660156;134,1145782470703;166,81703186035156;146,24290466308594;456,0617980957031;146,5371856689453;210,34912109375;66,44388580322266;718,4107666015625;293,1092834472656;514,6444091796875;355,14117431640625;97,61699676513672;154,7847442626953;233,2899932861328;510,3101501464844;309,9999694824219;83,09268188476562;99,52053833007812;5062,25
2025-04-08;171,67176818847656;170,66000366210938;139,38999938964844;34,259429931640625;269,7084045410156;131,0332489013672;168,4782257080078;144,1999969482422;452,8385925292969;145,9340057373047;212,73275756835938;66,49246978759766;720,90234375;293,05059814453125;508,8624572753906;351,8662109375;96,27731323242188;153,00729370117188;221,86000061035156;537,911865234375;305,9800109863281;81,07062530517578;97,42262268066406;4982,77001953125
2025-04-09;197,98709106445312;191,10000610351562;160,82000732421875;36,332794189453125;296,3602294921875;139,74136352539062;186,28399658203125;158,1615753173828;506,37933349609375;146,87771606445312;229,8695068359375;67,97936248779297;748,1704711914062;297,0871887207031;583,9482421875;387,52325439453125;114,30306243896484;156,80377197265625;272,20001220703125;562,6346435546875;329,9605407714844;88,81192779541016;102,2855453491211;5456,89990234375
2025-04-10;189,59365844726562;181,22000122070312;155,52000427246094;35,0613899230957;284,6932373046875;129,167236328125;180,5543212890625;152,2919464111328;479,8587646484375;144,65951538085938;222,7774200439453;68,76655578613281;715,6114501953125;299,84344482421875;544,5910034179688;378,45269775390625;107,5446548461914;158,00160217285156;252,39999389648438;578,0986328125;322,1986389160156;89,81304931640625;96,61052703857422;5268,0498046875
2025-04-11;197,2901153564453;184,8699951171875;156,83999633789062;35,1591911315918;288,9169921875;129,78924560546875;180,71348571777344;156,59701538085938;484,4045715332031;147,6171112060547;231,69400024414062;69,41767120361328;727,0269775390625;302,89288330078125;541,8794555664062;385,498779296875;110,90386199951172;161,23776245117188;252,30999755859375;583,029541015625;330,92333984375;91,98377990722656;99,71390533447266;5363,35986328125
