Ticker;Empresa;Sector;Industria;País;Moneda;Precio actual;Cap. Mercado;Beta;P/E (trailing);P/E (forward);P/B;P/S;EV/EBITDA;PEG Ratio;Valor Graham;Upside vs Graham (%);ROE (%);ROA (%);Margen Bruto (%);Margen Operativo (%);Margen Neto (%);Margen EBITDA (%);Deuda/Equity;Current Ratio;Quick Ratio;Crec. Ingresos YoY (%);Crec. Ganancias YoY (%);Div. Yield (%);Payout Ratio (%);Máximo 52s;Mínimo 52s;Dist. Máx 52s (%);Dist. Mín 52s (%);Score Cuantitativo
EDN.BA;Edenor;Utilities;Utilities - Regulated Electric;Argentina;ARS;1885,0;1650661130240,0;0,272;6,8944077;794.0185;0,74256885;0,5518961;3,573;8.71;3951.72;109.64;11,38;1.7;22,75;5,25;8,0;11,79;53,656;1,07;0,9;5,6;858,4;;0,0;2767,5;1137,0;-31,89;65,79;51.7
ABEV3.SA;Ambev;Consumer Defensive;Beverages - Brewers;Brazil;BRL;14,39;224436436992,0;0,31;14,535354;12.743649;2,5559502;2,543406;7,775;2.02;11.2;-22.17;16,98;9.14;51,42;28,19;17,57;30,84;3,815;0,962;0,664;-8,2;-10,1;1637,0;173,88;16,77;11,68;-14,19;23,2;51.6
TXAR.BA;Ternium Argentina;Basic Materials;Steel;Argentina;ARS;675,0;3049038282752,0;-0,313;36,48649;10.289635;0,44754833;1,2123581;11,877;;792.34;17.38;1,4;0.62;14,18;6,24;3,32;6,81;1,053;3,873;2,233;33,6;395,9;396,0;0,0;950,0;450,0;-28,95;50,0;51.0
AAPL;Apple;Technology;Consumer Electronics;United States;USD;270,345;3968972881920,0;1,109;34,11;28.864016;51,79;9,18;26,97;2.44;32.65;-87.92;151,91;24.38;46,91;31,97;26,92;34,7;1,52;0,89;0,86;6,43;19,5;0,4;13,77;288,62;193,25;-6,33;39,89;50.3
JNJ;Johnson & Johnson;Healthcare;Drug Manufacturers - General;United States;USD;227,179;546869116928,0;0,329;18,82;17.873419;6,18;5,35;12,97;2.96;81.09;-64.31;32,87;8.42;72,78;27,17;28,46;43,59;0,59;1,03;0,77;6,05;90,56;2,46;46,19;251,71;146,12;-9,75;55,47;49.9
AMZN;Amazon;Consumer Cyclical;Internet Retail;United States;USD;263,52;2834282840064,0;1,383;31,66;27.878592;5,98;3,43;15,28;1.91;78.61;-70.17;18,89;6.93;50,29;11,16;10,83;23,06;0,37;1,05;0,88;12,38;31,09;0,0;0,0;265,91;178,85;-0,9;47,34;49.5
KO;Coca-Cola;Consumer Defensive;Beverages - Non-Alcoholic;United States;USD;78,8;338932760576,0;;22,92;22.824451;9,35;6,27;18,06;;23.65;-69.99;40,74;9.55;61,63;28,71;27,34;39,01;1,47;1,46;1,25;1,87;23,29;2,92;66,98;82,0;65,35;-3,9;20,58;49.1
WEGE3.SA;WEG;Industrials;Electrical Equipment & Parts;Brazil;BRL;44,36;186127007744,0;0,047;29,184212;22.784004;10,686582;4,5614767;22,551;;11.91;-73.15;32,51;11.85;33,53;19,4;15,63;21,49;29,31;1,548;0,926;-5,3;-6,3;85,0;118,88;54,53;35,25;-18,65;25,84;47.0
SUZB3.SA;Suzano;Basic Materials;Paper & Paper Products;Brazil;BRL;44,87;55451308032,0;0,277;4,146026;5.54749;1,2654799;1,1067128;6,331;;92.9;107.04;35,19;3.78;32,38;16,85;26,75;41,89;231,459;3,185;2,412;-7,5;;247,0;10,32;59,65;44,68;-24,78;0,43;46.5
VALO.BA;Grupo Supervielle VALO;Financial Services;Banks - Diversified;Argentina;ARS;641,0;735219220480,0;-0,092;12,277342;;2,0239398;3,251757;;;609.96;-4.84;18,39;2.87;0,0;33,79;24,78;0,0;;;;17,4;60,9;96,0;5,58;750,0;231,0;-14,53;177,49;44.6
