Fecha;Grupo Financiero Galicia;Banco Macro;Pampa Energía;Ternium Argentina;Aluar;Cresud;Supervielle;Central Puerto;Loma Negra;Mirgor;Telecom Argentina;Transportadora Gas del Sur;Grupo Supervielle (VALO);Soc. Comercial del Plata;Edenor;Holcim Argentina;Transener;Molinos Río de la Plata;BYMA;IRSA;ÍNDICE MERVAL
02/01/2025;7730,7060546875;12144,1279296875;4385,0;863,5116577148438;890,3394775390625;1472,5738525390625;3849,40185546875;1820,0;2980,0;26526,1953125;3158,7392578125;7375,67041015625;446,40008544921875;115,4687271118164;2765,0;2230,0;2457,040283203125;4340,41162109375;246,61477661132812;1692,9671630859375;2695646,0
03/01/2025;7883,9794921875;12285,892578125;4445,0;848,1261596679688;887,348388671875;1505,6123046875;3932,977783203125;1895,0;3005,0;26626,013671875;3372,975341796875;7442,80908203125;445,411376953125;120,7878189086914;2635,0;2225,0;2457,040283203125;4562,3642578125;245,18096923828125;1724,65380859375;2728911,0
06/01/2025;8152,2060546875;13065,5712890625;4500,0;832,7406616210938;871,3960571289062;1533,9310302734375;4213,2021484375;1900,0;3060,0;26725,830078125;3343,08203125;7414,03515625;446,40008544921875;121,2310791015625;2610,0;2245,0;2574,248779296875;4562,3642578125;254,26171875;1751,813720703125;2801221,0
07/01/2025;8238,4228515625;12923,8095703125;4555,0;834,663818359375;871,3960571289062;1557,530029296875;4262,36474609375;1920,0;3080,0;26800,69140625;3387,922119140625;7663,40771484375;447,8832092285156;124,99877166748047;2560,0;2250,0;2656,72900390625;4389,734375;249,9603271484375;1702,0205078125;2822175,0
08/01/2025;8123,46875;12923,8095703125;4470,0;830,8174438476562;881,3662719726562;1505,6123046875;4355,77294921875;1875,0;3000,0;26825,64453125;3283,295166015625;7586,677734375;444,91705322265625;123,00411224365234;2290,0;2385,0;2565,566650390625;4258,20703125;246,61477661132812;1706,547119140625;2782477,0
09/01/2025;8276,7421875;13396,3447265625;4575,0;844,27978515625;915,2649536132812;1505,6123046875;4522,92431640625;1870,0;3000,0;27224,912109375;3268,348388671875;7644,22509765625;444,91705322265625;124,5555191040039;2340,0;2440,0;2535,179443359375;4184,22265625;245,6588897705078;1729,180419921875;2829730,0
10/01/2025;8267,1630859375;12923,8095703125;4530,0;866,3964233398438;928,2262573242188;1505,6123046875;4562,25390625;1815,0;3040,0;27324,7265625;3228,490478515625;7337,30517578125;445,9057922363281;121,00944519042969;2235,0;2410,0;2461,38134765625;4069,135986328125;245,6588897705078;1711,0738525390625;2805140,0
13/01/2025;7769,0244140625;12025,99609375;4305,0;839,4718017578125;901,3067016601562;1453,6947021484375;4267,28076171875;1715,0;2790,0;27100,140625;3039,16552734375;6752,2392578125;442,93963623046875;109,70637512207031;2025,0;2295,0;2300,761962890625;3933,498046875;233,949462890625;1665,807373046875;2655179,0
14/01/2025;8075,56982421875;12923,8095703125;4465,0;813,5087890625;870,3990478515625;1482,013427734375;4488,5107421875;1765,0;2860,0;27175,00390625;3173,685791015625;6963,24658203125;446,8944396972656;112,14429473876953;2155,0;2290,0;2322,46728515625;3888,285400390625;235,8612060546875;1661,2806396484375;2733273,0
15/01/2025;8123,46875;12923,8095703125;4420,0;787,5457153320312;835,5032958984375;1444,255126953125;4365,60498046875;1720,0;2765,0;27374,634765625;3074,041015625;6828,96923828125;454,3097229003906;108,48741149902344;2105,0;2265,0;2322,46728515625;4044,474365234375;233,949462890625;1683,9139404296875;2704474,0
16/01/2025;8018,0927734375;12593,037109375;4290,0;769,2754516601562;813,56884765625;1373,458251953125;4208,2861328125;1625,0;2660,0;27025,279296875;2954,46728515625;6589,18798828125;453,3209533691406;103,27912902832031;2000,0;2170,0;2209,599853515625;3867,734130859375;227,25836181640625;1634,1207275390625;2629377,0
17/01/2025;7510,376953125;11647,9677734375;4080,0;765,4290771484375;808,583740234375;1345,1395263671875;3932,977783203125;1530,0;2525,0;26101,9765625;2879,73388671875;6445,31884765625;443,9283752441406;100,17632293701172;1960,0;2105,0;2153,166015625;3703,32470703125;221,2841796875;1588,854248046875;2510886,0
